,Unnamed: 0,Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year_train,month_train,day_train,Address,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,day_weather,month_weather,year_weather,week,Species_virus,tavg_celsius,wetbulb_celsius,relative_humidity,7day_tavg_c,14day_tavg_c,21day_tavg_c,7day_Precip,14day_Precip,21day_Precip,7day_rel_humidity,14day_rel_humidity,21day_rel_humidity,daylight_time,night_time,Precip_binary
0,0,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
1,1,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,T002,41.95469,-87.800991,1,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
2,2,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,T007,41.994991,-87.769279,1,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
3,3,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
4,4,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,T015,41.974089,-87.824812,4,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
5,5,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,1,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
6,6,1,2007-05-29,88,60,74,58,65,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,1,0,29,5,2007,22,1,23.333333333333332,18.333333333333332,59.899166314445715,23.0,23.0,23.0,0.0,0.0,0.0,53.0,53.0,53.0,1496,904,0
7,7,2,2007-05-29,88,65,77,59,66,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,T045,41.9216,-87.666455,2,0,29,5,2007,22,1,25.0,18.88888888888889,53.704206612404484,23.333333333333332,23.0,23.0,0.0,0.0,0.0,59.899166314445715,53.0,53.0,1496,904,0
8,8,2,2007-05-29,88,65,77,59,66,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,T046,41.891118,-87.654491,1,0,29,5,2007,22,1,25.0,18.88888888888889,53.704206612404484,23.333333333333332,23.0,23.0,0.0,0.0,0.0,59.899166314445715,53.0,53.0,1496,904,0
9,9,2,2007-05-29,88,65,77,59,66,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,29,5,2007,22,1,25.0,18.88888888888889,53.704206612404484,23.333333333333332,23.0,23.0,0.0,0.0,0.0,59.899166314445715,53.0,53.0,1496,904,0
