,Unnamed: 0,Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year_train,month_train,day_train,Address,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,day_weather,month_weather,year_weather,week,Species_virus,7day_Tavg,10day_Tavg,7day_Precip,10day_Precip,tavg_celsius,wetbulb_celsius,relative_humidity
0,0,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
1,1,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,T002,41.95469,-87.800991,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
2,2,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,T007,41.994991,-87.769279,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
3,3,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
4,4,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,T015,41.974089,-87.824812,4,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
5,5,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
6,6,1,2007-05-29,88,60,74,58,65,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,23.333333333333332,18.333333333333332,59.899166314445715
7,7,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,T045,41.9216,-87.666455,2,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
8,8,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,T046,41.891118,-87.654491,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
9,9,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
10,10,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,T048,41.867108,-87.654224,2,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
11,11,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,T049,41.896282,-87.655232,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
12,12,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
13,13,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,29,5,2007,22,1,74.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
14,14,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,T054,41.921965,-87.632085,3,0,29,5,2007,22,1,77.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
15,15,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,29,5,2007,22,1,77.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
16,16,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,T086,41.688324,-87.676709,1,0,29,5,2007,22,1,77.0,74.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
17,17,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,T091,41.862292,-87.64886,1,0,29,5,2007,22,1,77.0,77.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
18,18,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,T094,41.720848,-87.666014,3,0,29,5,2007,22,1,77.0,77.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
19,19,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,T096,41.731922,-87.677512,5,0,29,5,2007,22,1,77.0,77.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
20,20,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,T096,41.731922,-87.677512,1,0,29,5,2007,22,1,77.0,77.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
21,21,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,29,5,2007,22,1,77.0,77.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
22,22,2,2007-05-29,88,65,77,59,66,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,T129,41.891126,-87.61156,2,0,29,5,2007,22,1,77.0,77.0,0.0,0.0,25.0,18.88888888888889,53.704206612404484
